Titre construit,1er responsable,Responsables,Code-barres,Cote,Résumé (notice),Genre
L'Indomptable feu du printemps,"Mosese, Lemohang Jeremiah",Lemohang Jeremiah Mosese ...,2195192,DVD IND,"Mantoa, 80 ans, est la doyenne d'un petit village niché dans les montagnes du Lesotho. Lorsque la construction d'un barrage menace de submerger la vallée, Mantoa décide d'en défendre l'héritage spirituel et ravive l'esprit de résistance de sa communauté. Dans les derniers moments de sa vie, la légende de Mantoa se construit et devient éternelle. En bonus : Court métrage : ""Behemoth - Or the name of God"". ""Un chef-d'oeuvre de cinéma, qui restitue une magnifique variation sur le conflit entre la tradition et la modernité, à travers une héroïne fascinante, tout autant philosophe que musicienne. Proprement sublime."" aVoir-aLire.com - Laurent Cambon ""A travers la disparition programmée d'un village traditionnel, sacrifié sur l'autel de la modernité, c'est un peu notre mode de vie qui est ici questionne. Le portrait poétique et émouvant d'une femme est ici sublime par de magnifiques décors naturels."" Les Fiches du Cinéma - Keiko Masuda ""La critique du règne capitaliste expulse la pure approche naturaliste et la standardisation des récits pour lui substituer une mise en image incandescente de poésie."" Les Inrockuptibles - Ludovic Béot ""Un flot d'images superbes au lyrisme sauvage, avec des fulgurances qui rappellent la palette bariolée du Cinema Novo brésilien, tels ce violent orage nocturne, ou ce plan magnifique, quasi biblique, de la vieille femme entourée de moutons dans les ruines de sa maison."" Positif - Bernard Génin",Biopic
L'Infirmière,"Fukada, Kôji",Kôji Fukada ...,2188717,DVD INF,"Ichiko est infirmière à domicile. Elle travaille au sein d'une famille qui la considère depuis toujours comme un membre à part entière. Mais lorsque la cadette de la famille disparaît, Ichiko se trouve suspectée de complicité d'enlèvement. En retraçant la chaîne des événements, un trouble grandit : est-elle coupable ? Qui est-elle vraiment ? ""Plongée schizophrène dans l'âme humaine, le nouvel opus de Kôji Fukada est un drame malaisant et épatant, porté par une actrice époustouflante."" Bande à Part - Olivier Pélisson ""Un récit oppressant et tendu entre polar, sociologie et drame psychologique."" Les Fiches du Cinéma - Gilles Tourman ""Avec un sens aigu du détail et de l'ellipse, un thriller psychologique [...] à la fois tortueux et limpide [...]. La mise en scène de Fukada fait une nouvelle fois des merveilles et transmute ce polar intimiste en une expérience mentale hallucinée, traversée de séquences surréelles aux accents lynchiens."" Les Inrockuptibles - Léo Moser",Thriller
L'Insensible,"Tverdovsky, Ivan I.",Ivan I. Tverdovsky ...,2177545,DVD INS,"Denis a grandi dans l'orphelinat où sa mère l'a abandonné. C'est un garçon spécial qui est atteint d'une maladie rare le rendant insensible à la douleur. Un jour, sa mère débarque et l'emmène à Moscou, où celle-ci est associée à un gang de fonctionnaires corrompus qui extorquent de l'argent à des gens riches. Dès lors, il participe à leurs manigances...",Policier et espionnage
L'Insoutenable légèreté de l'être,"Kaufman, Philip",Philip Kaufman ...,2097163,DVD INS,"Les personnages de Kundera se déplacent dans le monde des sentiments et rencontrent ""l'histoire"". Adaptation intelligente et bonne interprétation.",Drame
L'insulte,"Doueiri, Ziad",Ziad Doueiri ...,2158755,DVD INS,"A Beyrouth, de nos jours, une insulte qui dégénère conduit Toni (chrétien libanais) et Yasser (réfugié palestinien) devant les tribunaux. De blessures secrètes en révélations, l'affrontement des avocats porte le Liban au bord de l'explosion sociale mais oblige ces deux hommes à se regarder en face. En bonus : Commentaire audio par Ziad Doueiri et Frédéric Domont, Sur le tournage du film, scènes coupées, entretien avec Ziad Doueiri, bande-annonce.Coupe Volpi de la meilleure interprétation masculine (Kamel El Basha) à la Mostra de Venise, Italie, 2017",Policier et espionnage
L'intouchable,"Jacquot, Benoît",Benoît Jacquot ...,2177406,DVD INT,"Le jour de son anniversaire, Jeanne apprend de sa mère que son père est Indien, Hindou de l'Inde, rencontré en voyage. Un Intouchable, lui dira sa mère. Jeanne est actrice, elle abandonne les répétitions de Sainte Jeanne des Abattoirs mise en scène par son amoureux. Pour partir en Inde, tout de suite, elle a besoin d'argent, elle demande à son agent d'accepter un rôle de cinéma qu'elle avait refusé. On la voit jouer ce rôle comme un calvaire qu'elle s'inflige. Elle part. En Inde, elle cherchera son père, le manquera, le trouvera et le laissera. Elle revient.","Romance, sentimental"
L'Intrusa,"Di Costanzo, Leonardo (1958 - ...)",Leonardo Di Costanzo ...,2158352,DVD INT,"Naples. Aujourd'hui. Giovanna, travailleuse sociale combative de 60 ans, fait face à une criminalité omniprésente. Elle gère un centre qui s'occupe d'enfants défavorisés et offre ainsi une alternative à la domination mafieuse de la ville. Un jour, l'épouse d'un criminel impitoyable de la Camorra, la jeune Maria, en fuite avec ses deux enfants, se réfugie dans ce centre. Lorsqu'elle lui demande sa protection, Giovanna se retrouve confrontée, telle une Antigone moderne, à un dilemme moral qui menace de détruire son travail et sa vie.Documentaire ""Un cas d'école"" (2003), ""Au travail avec les acteurs"" : L'Intrusa vu par son réalisateur.",Policier et espionnage
Lion,"Davis, Garth","Garth Davis, réal.",2157615,DVD LIO,"A 5 ans, Saroo se retrouve seul dans un train traversant l'Inde qui l'emmène malgré lui à des milliers de kilomètres de sa famille. Perdu, le petit garçon doit apprendre à survivre seul dans l'immense ville de Calcutta. Après des mois d'errance, il est recueilli dans un orphelinat et adopté par un couple d'Australiens. 25 ans plus tard, Saroo est devenu un véritable Australien, mais il pense toujours à sa famille en Inde. Armé de quelques rares souvenirs et d'une inébranlable détermination, il commence à parcourir des photos satellites sur Google Earth, dans l'espoir de reconnaître son village...En bonus : Lion : la musique, entretiens avec Dev Patel, Nicole Kidman et Gareth Davis, l'histoire vraie de Saroo Brierley, clip : ""Never give up"" de Sia.",Science-fiction
Little boy,"Monteverde, Alejandro Gomez (1977 - ...)",Alejandro Gomez Monteverde ...,2157679,DVDJ LIT,"Alors que son père vient de partir pour la Seconde Guerre mondiale, Pepper, petit garçon de huit ans, reste inconsolable. Avec la naïveté de son âge, il est prêt à tout pour faire revenir son père coûte que coûte...En bonus : Scènes coupées.",Film de guerre
Little Joe,"Hausner, Jessica (1972 - ...)",Jessica Hausner ...,2183467,DVD LIT,"Alice est une phytogénéticienne chevronnée qui travaille pour une société spécialisée dans le développement de nouvelles espèces de plantes. Elle a conçu une fleur très particulière, rouge vermillon, remarquable tant pour sa beauté que pour son intérêt thérapeutique. En effet, si on la conserve à bonne température, si on la nourrit correctement et si on lui parle régulièrement, la plante rend son propriétaire heureux...",Policier et espionnage
Little zombies,"Nagahisa, Makoto (1984 - ...)",Makoto Nagahisa ...,2185213,DVD LIT,"Leurs parents sont morts. Ils devraient être tristes, pourtant ils ne pleurent pas. A la place, Hikari, Ikuko, Ishi and Takemura montent un groupe de rock explosif ! Ces quatre adolescents que le chagrin n'accable pas, vont trouver ensemble une nouvelle voie, celle de la musique.",Horreur / Epouvante
L'ivresse de l'argent,"Im, Sang-Soo",Sang-Soo Im ...,2126978,DVD IVR,"Youngjak est le secrétaire de Madame Baek, dirigeante d'un puissant empire industriel coréen. Il est chargé de s'occuper des affaires privées de cette famille à la morale douteuse. Pris dans une spirale de domination et de secrets, Youngjak devra choisir son camp, afin de survivre dans cet univers où argent, sexe et pouvoir sont rois. Abus de pouvoir, rapports de classe, corruption et manipulation, un tableau noir de la haute-bourgeoise...",Historique
L'Odeur de la papaye verte,"Trần, Anh Hùng (1962 - ...)",Anh Hùng Trần ...,2112839,DVD ODE,"La vie d'une famille vietnamienne vue par les yeux d'une servante de dix ans. Chronique nostalgique et poétique d'un exilé qui se souvient. De magnifiques images autour de la préparation des plats dans la cour de la maison... Hum, ça donne l'eau à la bouche",Drame
L'Odyssée,"Salle, Jérôme (1971 - ...)","Jérôme Salle, Laurent Turner ...",2149788,DVD ODY,"1948. Jacques-Yves Cousteau, sa femme et ses deux fils, vivent au paradis, dans une jolie maison surplombant la mer Méditerranée. Mais Cousteau ne rêve que d'aventure. Grâce à son invention, un scaphandre autonome qui permet de respirer sous l'eau, il a découvert un nouveau monde. Désormais, ce monde, il veut l'explorer. Et pour ça, il est prêt à tout sacrifier.",Aventure
"L'oeuvre sans auteur, partie 1 et 2","Donnersmarck, Florian Henckel Von",Florian Henckel Von Donnersmarck ...,2177393,DVD OEU,"A Dresde en 1937, le tout jeune Kurt Barnet visite, grâce à sa tante Elisabeth, l'exposition sur ""l'art dégénéré"" organisée par le régime nazi. Il découvre alors sa vocation de peintre. Dix ans plus tard en RDA, étudiant aux Beaux-arts, Kurt peine à s'adapter aux diktats du ""réalisme socialiste"". Tandis qu'il cherche sa voix et tente d'affirmer son style, il tombe amoureux d'Ellie. Mais Kurt ignore que le père de celle-ci, le professeur Seeband, médecin influent, est lié à lui par un terrible passé. Epris d'amour et de liberté, ils décident de passer à l'Ouest...",Policier et espionnage
Logan lucky,"Soderbergh, Steven (1963 - ...)",Steven Soderbergh ...,2158144,DVD LOG,"Deux frères pas très futés décident de monter le casse du siècle : empocher les recettes de la plus grosse course automobile de l'année. Pour réussir, ils ont besoin du meilleur braqueur de coffre-fort du pays : Joe Bang. Le problème, c'est qu'il est en prison... En bonus : Entretien avec Steven Soderbergh, entretien avec les acteurs, scènes coupées, bandes-annonces.",Historique
Loin de la foule déchaînée,"Vinterberg, Thomas",Thomas Vinterberg ...,2148075,DVD LOI,"Dans la campagne anglaise de l'époque victorienne, une jeune héritière, Bathsheba Everdeene, doit diriger la ferme léguée par son oncle. Femme belle et libre, elle veut s'assumer seule et sans mari, ce qui n'est pas du goût de tous, à commencer par ses ouvriers. Bathsheba ne se mariera qu'une fois amoureuse. Qu'à cela ne tienne, elle se fait courtiser par trois hommes, le berger Gabriel Oake, le riche voisin Mr Boldwood et le Sergent Troy. Remake du film de John Schlesinger (1967).","Romance, sentimental"
Loin de Sunset Boulevard,"Minaev, Igor",Igor Minaev ...,2185625,DVD LOI,"URSS, fin des années 80. Un couple de vieux artistes soviétiques est assiégé dans sa datcha par une meute de journalistes. Ils ne comprennent pas pourquoi. Il s'agit de Constantin Dalmatov, réalisateur de films à succès sous Staline, et de sa femme, Lidia Poliakova, qui était aussi l'actrice principale de ses oeuvres. Pris de panique, croyant que l'on vient les arrêter, ils commencent alors à brûler les traces de leur passé glorieux...",Drame
Loin des hommes,"Oelhoffen, David (1968 - ...)",David Oelhoffen ...,2136851,DVD LOI,"1954. Alors que la rébellion gronde dans la vallée, deux hommes, que tout oppose, sont contraints de fuir à travers les crêtes de l'Atlas algérien. Au coeur d'un hiver glacial, Daru, instituteur reclus, doit escorter Mohamed, un paysan accusé du meurtre de son cousin. Poursuivis par des villageois réclamant la loi du sang et par des colons revanchards, les deux hommes se révoltent. Ensemble, ils vont lutter pour retrouver leur liberté.",Policier et espionnage
Lola,"Mendoza, Brillante",Brillante Mendoza ...,2111139,DVD LOL,"Deux grands-mères courage, le petit-fils de l'une a assassiné le petit-fils de l'autre, redonnent du sens à la vie dont les hommes sont particulièrement absents. En creux, le portrait d'un pays violent.",Biopic
Lola pater,"Moknèche, Nadir (1965 - ...)",Nadir Moknèche ...,2158064,DVD LOL,"A la mort de sa mère, Zino décide de retrouver son père, Farid. Mais, il y a 25 ans, Farid est devenu Lola...",Drame
Lola vers la mer,"Micheli, Laurent (1982 - ...)","Laurent Micheli, Agnès Feuvre, Raf Keunen ...",2177668,DVD LOL,"Alors que Lola, jeune fille transgenre de 18 ans, apprend qu'elle va enfin pouvoir se faire opérer ; sa mère, qui devait la soutenir financièrement, décède. Afin de respecter ses dernières volontés, Lola et son père, qui ne se sont pas vus depuis deux ans et que tout oppose, sont obligés de se rendre jusqu'à la côte belge. En chemin, ils réaliseront que l'issue du voyage n'est peut-être pas celle à laquelle ils s'attendaient... ""Plus qu'un film sur les personnes transgenres, ""Lola vers la mer"" est un drame bouleversant sur la relation conflictuelle entre un père et son enfant."" L'Express - Antoine Le Fur ""Un road-movie lyrique et enthousiasmant."" Télérama - Guillemette Odicino ""Moins tumultueux et âpre que ""Girl"", ""Lola vers la mer"" possède ses propres atouts : la simplicité du road movie, une excellente interprète, la débutante Mya Bollaers, et dans le rôle de son père, Benoît Magimel à la maturité épaisse et un peu blessée."" Cahiers du Cinéma - Stéphane du Mesnildot",Drame
